"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Euros_Any"
2019,1,"Ciutat Vella",1,"el Raval",12142
2019,1,"Ciutat Vella",2,"el Barri Gòtic",16732
2019,1,"Ciutat Vella",3,"la Barceloneta",16322
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",18075
2019,2,"Eixample",5,"el Fort Pienc",23137
2019,2,"Eixample",6,"la Sagrada Família",22753
2019,2,"Eixample",7,"la Dreta de l'Eixample",30341
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",27634
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",25378
2019,2,"Eixample",10,"Sant Antoni",22851
2019,3,"Sants-Montjuïc",11,"el Poble Sec",16160
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",12528
2019,3,"Sants-Montjuïc",13,"la Marina de Port",16999
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla",20302
2019,3,"Sants-Montjuïc",15,"Hostafrancs",19678
2019,3,"Sants-Montjuïc",16,"la Bordeta",19998
2019,3,"Sants-Montjuïc",17,"Sants - Badal",19724
2019,3,"Sants-Montjuïc",18,"Sants",21686
2019,4,"Les Corts",19,"les Corts",28898
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon",26416
2019,4,"Les Corts",21,"Pedralbes",39025
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",29429
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià",35993
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",42055
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",36874
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",37290
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",30800
2019,6,"Gràcia",28,"Vallcarca i els Penitents",26010
2019,6,"Gràcia",29,"el Coll",21252
2019,6,"Gràcia",30,"la Salut",24786
2019,6,"Gràcia",31,"la Vila de Gràcia",23749
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",25292
2019,7,"Horta-Guinardó",33,"el Baix Guinardó",21811
2019,7,"Horta-Guinardó",34,"Can Baró",20248
2019,7,"Horta-Guinardó",35,"el Guinardó",21229
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues",24807
2019,7,"Horta-Guinardó",37,"el Carmel",15582
2019,7,"Horta-Guinardó",38,"la Teixonera",17118
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",17351
2019,7,"Horta-Guinardó",40,"Montbau",19170
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron",22778
2019,7,"Horta-Guinardó",42,"la Clota",19442
2019,7,"Horta-Guinardó",43,"Horta",19947
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",19414
2019,8,"Nou Barris",45,"Porta",16964
2019,8,"Nou Barris",46,"el Turó de la Peira",14545
2019,8,"Nou Barris",47,"Can Peguera",12738
2019,8,"Nou Barris",48,"la Guineueta",18932
2019,8,"Nou Barris",49,"Canyelles",17878
2019,8,"Nou Barris",50,"les Roquetes",13014
2019,8,"Nou Barris",51,"Verdun",14267
2019,8,"Nou Barris",52,"la Prosperitat",15799
2019,8,"Nou Barris",53,"la Trinitat Nova",12205
2019,8,"Nou Barris",54,"Torre Baró",11455
2019,8,"Nou Barris",55,"Ciutat Meridiana",10739
2019,8,"Nou Barris",56,"Vallbona",11660
2019,9,"Sant Andreu",57,"la Trinitat Vella",11994
2019,9,"Sant Andreu",58,"Baró de Viver",12022
2019,9,"Sant Andreu",59,"el Bon Pastor",15351
2019,9,"Sant Andreu",60,"Sant Andreu",21547
2019,9,"Sant Andreu",61,"la Sagrera",19799
2019,9,"Sant Andreu",62,"el Congrés i els Indians",20089
2019,9,"Sant Andreu",63,"Navas",20375
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",20927
2019,10,"Sant Martí",65,"el Clot",20483
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",21441
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",32436
2019,10,"Sant Martí",68,"el Poblenou",22751
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",25589
2019,10,"Sant Martí",70,"el Besòs i el Maresme",12787
2019,10,"Sant Martí",71,"Provençals del Poblenou",20080
2019,10,"Sant Martí",72,"Sant Martí de Provençals",18637
2019,10,"Sant Martí",73,"la Verneda i la Pau",16820
